;Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
528;543;Apartamento;Lins de Vasconcelos;2;0;0;50;900.0;360.0;13.0;18.0;Apartamento
529;544;Apartamento;Recreio dos Bandeirantes;3;1;1;80;1700.0;900.0;195.0;21.25;Apartamento
530;545;Apartamento;Copacabana;1;0;0;36;1700.0;632.0;69.0;47.22;Apartamento
531;546;Apartamento;Campo Grande;2;1;0;70;750.0;330.0;0.0;10.71;Apartamento
532;547;Quitinete;Copacabana;1;0;0;30;1150.0;450.0;30.0;38.33;Apartamento
533;549;Apartamento;Freguesia (Jacarepaguá);1;1;0;49;850.0;590.0;37.0;17.35;Apartamento
534;550;Apartamento;Copacabana;1;0;0;37;2200.0;555.0;70.0;59.46;Apartamento
535;551;Apartamento;Ipanema;3;1;1;126;6000.0;1667.0;590.0;47.62;Apartamento
536;552;Apartamento;Gávea;2;1;0;63;3300.0;650.0;0.0;52.38;Apartamento
537;553;Apartamento;Barra da Tijuca;2;1;0;74;2100.0;750.0;0.0;28.38;Apartamento
538;554;Apartamento;Barra da Tijuca;2;1;1;70;2300.0;1000.0;80.0;32.86;Apartamento
539;555;Apartamento;Barra da Tijuca;4;3;4;292;16000.0;5000.0;1500.0;54.79;Apartamento
540;556;Apartamento;Barra da Tijuca;4;2;1;330;9000.0;3100.0;1085.0;27.27;Apartamento
541;557;Apartamento;Recreio dos Bandeirantes;2;1;1;65;1800.0;560.0;0.0;27.69;Apartamento
542;558;Casa;Campo Grande;2;0;0;70;1000.0;0.0;0.0;14.29;Casa
543;559;Casa;Barra da Tijuca;4;6;2;232;6500.0;1100.0;800.0;28.02;Casa
544;560;Apartamento;Flamengo;3;0;1;110;3800.0;659.0;146.0;34.55;Apartamento
545;561;Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;342.0;50.0;Apartamento
546;562;Apartamento;Glória;1;0;0;28;1500.0;250.0;0.0;53.57;Apartamento
